2023 Upper tier local authorities Code,2023 Upper tier local authorities,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E06000015,Derby,13,"White: English, Welsh, Scottish, Northern Irish or British",173077
E06000015,Derby,14,White: Irish,1982
E06000015,Derby,15,White: Gypsy or Irish Traveller,408
E06000015,Derby,16,White: Roma,1163
E06000015,Derby,17,White: Other White,16241
E06000015,Derby,18,Other ethnic group: Arab,1032
E06000015,Derby,19,Other ethnic group: Any other ethnic group,6516
E06000016,Leicester,-8,Does not apply,0
E06000016,Leicester,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7055
E06000016,Leicester,2,"Asian, Asian British or Asian Welsh: Chinese",2481
E06000016,Leicester,3,"Asian, Asian British or Asian Welsh: Indian",126421
E06000016,Leicester,4,"Asian, Asian British or Asian Welsh: Pakistani",12673
E06000016,Leicester,5,"Asian, Asian British or Asian Welsh: Other Asian",11347
E06000016,Leicester,6,"Black, Black British, Black Welsh, Caribbean or African: African",21536
E06000016,Leicester,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4466
E06000016,Leicester,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2764
E06000016,Leicester,9,Mixed or Multiple ethnic groups: White and Asian,3659
E06000016,Leicester,10,Mixed or Multiple ethnic groups: White and Black African,1776
E06000016,Leicester,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5025
E06000016,Leicester,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3439
E06000016,Leicester,13,"White: English, Welsh, Scottish, Northern Irish or British",122395
E06000016,Leicester,14,White: Irish,1789
E06000016,Leicester,15,White: Gypsy or Irish Traveller,457
E06000016,Leicester,16,White: Roma,839
E06000016,Leicester,17,White: Other White,25177
E06000016,Leicester,18,Other ethnic group: Arab,3402
E06000016,Leicester,19,Other ethnic group: Any other ethnic group,11870
E06000017,Rutland,-8,Does not apply,0
E06000017,Rutland,1,"Asian, Asian British or Asian Welsh: Bangladeshi",19
E06000017,Rutland,2,"Asian, Asian British or Asian Welsh: Chinese",149
E06000017,Rutland,3,"Asian, Asian British or Asian Welsh: Indian",236
E06000017,Rutland,4,"Asian, Asian British or Asian Welsh: Pakistani",60
E06000017,Rutland,5,"Asian, Asian British or Asian Welsh: Other Asian",170
E06000017,Rutland,6,"Black, Black British, Black Welsh, Caribbean or African: African",251
E06000017,Rutland,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",213
E06000017,Rutland,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",88
