time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,inpost_fte,inpost_headcount,starters_fte,starters_headcount,leavers_fte,leavers_headcount,turnover_rate_fte,turnover_rate_headcount,agency_fte,agency_headcount,agency_rate_fte,agency_rate_headcount,agency_cover_fte,agency_cover_rate_fte,vacancy_fte,vacancy_rate_fte,vacancy_agency_cover_rate_fte,case_holders_fte,cases,caseload_fte,working_days_lost_fte,absence_rate_fte
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,147.1,151,35,35,24.2,26,16.5,17.2,21,21,12.5,12.2,17,81,17,10.4,100,84.9,1142,13.5,1242,3.3
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,196.1,199,42,42,22,22,11.2,11.1,62,63,24,24,62,100,62,24,100,121.6,1750,14.4,1902,3.8
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,245.4,259,33,33,39.4,45,16.1,17.4,45,50,15.5,16.2,45,100,69,22,65.2,110,1186,10.8,1110,1.8
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,173.2,179,33.8,34,22.4,25,12.9,14,x,23,x,11.4,x,z,7,3.9,x,47,546,11.6,1215.6,2.8
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,152.3,155,25,25,40,40,26.3,25.8,132.5,136,46.5,46.7,132.5,100,188.8,55.3,70.2,133.6,2006,15,1420.3,3.7
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,196.5,202,57.6,58,33.4,34,17,16.8,99,99,33.5,32.9,99,100,99,33.5,100,129.1,1767,13.7,834.2,1.7
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,178.4,181,50,50,22.8,23,12.8,12.7,96.8,97,35.2,34.9,96.8,100,108,37.7,89.6,159.6,2516,15.8,638,1.4
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,330.8,343,50.5,51,34.7,35,10.5,10.2,111,111,25.1,24.4,74,66.7,102,23.6,72.5,193.7,2509,13,1542,1.8
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,270.5,280,25.6,26,34.8,35,12.9,12.5,83.4,86,23.6,23.5,79,94.8,80,22.8,98.8,161.5,2149,13.3,2022,3
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,192,195,43,43,29,29,15.1,14.9,34.8,36,15.3,15.6,23,66.1,45.4,19.1,50.7,118.4,1217,10.3,993,2
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,148.2,152,17,17,21.8,22,14.7,14.5,x,26,x,14.6,x,z,3,2,x,62.8,744,11.8,1056.5,2.8
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,192.2,193,50,50,46.8,47,24.3,24.4,53,53,21.6,21.5,53,100,58,23.2,91.4,130.8,2000,15.3,867,1.8
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,165.7,168,29,29,26,26,15.7,15.5,79,79,32.3,32,44.5,56.3,47.5,22.3,93.7,95.4,1432,15,822.5,2
